planning_area,age_0_4,age_5_9,age_10_14,age_15_19,age_20_24,age_25_29,age_30_34,age_35_39,age_40_44,age_45_49,age_50_54,age_55_59,age_60_64,age_65_69,age_70_74,age_75_79,age_80_84,age_85_over
Ang Mo Kio,3667.5,4240.0,4477.5,4941.25,5498.75,6362.5,6385.0,6685.0,6831.25,7022.5,6803.75,6157.5,5636.25,4516.25,3328.75,2158.75,1383.75,1035.0
Bedok,6368.75,7608.75,8268.75,8853.75,9492.5,10268.75,10025.0,10823.75,11380.0,11501.25,11138.75,9923.75,8877.5,6812.5,4953.75,3168.75,2090.0,1726.25
Bishan,1933.75,2628.75,2690.0,2867.5,2978.75,3251.25,3040.0,3423.75,3697.5,3688.75,3515.0,3110.0,2695.0,1991.25,1391.25,908.75,602.5,505.0
Boon Lay,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Bukit Batok,3726.25,4077.5,4532.5,4693.75,4798.75,5525.0,5763.75,5781.25,5915.0,5831.25,5433.75,4733.75,3816.25,2633.75,1642.5,993.75,632.5,500.0
Bukit Merah,3491.25,3603.75,3448.75,3540.0,4065.0,5281.25,5892.5,6140.0,6102.5,5863.75,5708.75,5243.75,5123.75,4287.5,3460.0,2411.25,1598.75,1337.5
Bukit Panjang,3545.0,3965.0,4193.75,4270.0,4421.25,4840.0,4928.75,5255.0,5107.5,4988.75,4658.75,4081.25,3222.5,2163.75,1386.25,843.75,547.5,422.5
Bukit Timah,1580.0,2371.25,2433.75,2378.75,2311.25,2156.25,2033.75,2621.25,3087.5,3140.0,2853.75,2332.5,2035.0,1578.75,1192.5,795.0,532.5,448.75
Central Water Catchment,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Changi,72.5,83.75,75.0,58.75,50.0,51.25,77.5,93.75,97.5,81.25,58.75,41.25,38.75,30.0,23.75,11.25,12.5,11.25
Changi Bay,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Choa Chu Kang,5013.75,5552.5,5858.75,6310.0,6203.75,6412.5,6878.75,7058.75,6990.0,6977.5,6405.0,5152.5,3751.25,2448.75,1557.5,945.0,608.75,450.0
Clementi,2042.5,2352.5,2385.0,2497.5,2796.25,3293.75,3430.0,3671.25,3683.75,3760.0,3551.25,3077.5,2905.0,2360.0,1738.75,1073.75,677.5,517.5
Downtown Core,70.0,75.0,63.75,72.5,85.0,143.75,170.0,181.25,177.5,161.25,150.0,131.25,125.0,96.25,81.25,53.75,31.25,45.0
Geylang,2520.0,2927.5,3066.25,3280.0,3621.25,4320.0,4371.25,4562.5,4637.5,4575.0,4461.25,4051.25,3685.0,2862.5,2161.25,1453.75,987.5,803.75
Hougang,5092.5,6000.0,6592.5,7098.75,7492.5,8158.75,7973.75,8421.25,8716.25,8750.0,8500.0,7620.0,6395.0,4603.75,3120.0,1986.25,1291.25,1028.75
Jurong East,1912.5,2228.75,2498.75,2736.25,2992.5,3450.0,3260.0,3261.25,3345.0,3388.75,3232.5,2925.0,2613.75,1927.5,1275.0,742.5,466.25,351.25
Jurong West,7068.75,7915.0,8192.5,8460.0,8668.75,10065.0,10801.25,10997.5,10653.75,10087.5,9021.25,7672.5,6245.0,4332.5,2688.75,1537.5,907.5,652.5
Kallang,2166.25,2320.0,2291.25,2388.75,2636.25,3322.5,3705.0,4018.75,4043.75,3930.0,3730.0,3410.0,3260.0,2667.5,2146.25,1460.0,980.0,813.75
Lim Chu Kang,2.5,1.25,3.75,5.0,6.25,2.5,2.5,1.25,3.75,7.5,6.25,3.75,2.5,1.25,1.25,0.0,0.0,0.0
Mandai,40.0,50.0,63.75,65.0,65.0,61.25,58.75,72.5,75.0,78.75,68.75,60.0,43.75,31.25,23.75,15.0,11.25,8.75
Marina East,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Marina South,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Marine Parade,1060.0,1356.25,1332.5,1298.75,1312.5,1433.75,1495.0,1897.5,2052.5,1953.75,1786.25,1532.5,1408.75,1145.0,962.5,681.25,472.5,393.75
Museum,10.0,7.5,7.5,7.5,5.0,7.5,21.25,25.0,21.25,17.5,16.25,12.5,10.0,7.5,6.25,5.0,1.25,2.5
Newton,158.75,223.75,196.25,170.0,167.5,187.5,221.25,293.75,338.75,335.0,293.75,231.25,200.0,153.75,112.5,72.5,45.0,48.75
North-Eastern Islands,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Novena,1115.0,1373.75,1291.25,1226.25,1258.75,1457.5,1657.5,1973.75,2085.0,1985.0,1753.75,1495.0,1321.25,1073.75,848.75,602.5,432.5,411.25
Orchard,17.5,21.25,21.25,17.5,17.5,22.5,30.0,36.25,40.0,38.75,35.0,32.5,28.75,21.25,15.0,7.5,5.0,3.75
Outram,463.75,435.0,368.75,375.0,466.25,657.5,765.0,823.75,793.75,757.5,768.75,746.25,762.5,652.5,551.25,381.25,270.0,278.75
Pasir Ris,3871.25,4593.75,4692.5,5148.75,4965.0,4673.75,4930.0,5535.0,5593.75,5697.5,5296.25,4230.0,2990.0,1923.75,1243.75,813.75,542.5,456.25
Paya Lebar,1.25,1.25,0.0,1.25,2.5,2.5,1.25,2.5,0.0,2.5,1.25,0.0,0.0,0.0,1.25,0.0,0.0,0.0
Pioneer,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Punggol,4331.25,3698.75,2592.5,1963.75,1663.75,2383.75,5115.0,5490.0,4091.25,3056.25,2261.25,1900.0,1552.5,1183.75,788.75,436.25,267.5,208.75
Queenstown,2286.25,2356.25,2276.25,2332.5,2650.0,3472.5,3868.75,4013.75,3922.5,3763.75,3570.0,3167.5,3033.75,2591.25,2136.25,1515.0,1047.5,801.25
River Valley,208.75,270.0,260.0,238.75,233.75,286.25,337.5,423.75,488.75,438.75,377.5,287.5,241.25,186.25,142.5,87.5,56.25,55.0
Rochor,295.0,313.75,321.25,338.75,416.25,531.25,588.75,618.75,632.5,590.0,575.0,543.75,516.25,443.75,383.75,248.75,160.0,158.75
Seletar,8.75,11.25,10.0,10.0,11.25,3.75,10.0,16.25,23.75,18.75,20.0,12.5,10.0,5.0,2.5,0.0,0.0,0.0
Sembawang,2420.0,2337.5,2377.5,2220.0,2088.75,2761.25,3342.5,3428.75,3198.75,2866.25,2415.0,1995.0,1501.25,996.25,635.0,403.75,256.25,207.5
Sengkang,6431.25,6105.0,5556.25,4893.75,4588.75,5888.75,8445.0,9000.0,7762.5,6528.75,5522.5,4702.5,3767.5,2590.0,1681.25,996.25,617.5,486.25
Serangoon,2486.25,3213.75,3631.25,3988.75,4212.5,4522.5,4060.0,4308.75,4737.5,4838.75,4800.0,4350.0,3858.75,2803.75,1955.0,1261.25,847.5,725.0
Simpang,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Singapore River,72.5,73.75,56.25,41.25,38.75,57.5,100.0,141.25,142.5,112.5,82.5,60.0,42.5,33.75,26.25,15.0,10.0,11.25
Southern Islands,31.25,32.5,28.75,28.75,26.25,22.5,22.5,41.25,53.75,65.0,56.25,45.0,27.5,16.25,7.5,5.0,1.25,0.0
Straits View,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Sungei Kadut,13.75,18.75,21.25,21.25,27.5,27.5,25.0,25.0,27.5,30.0,30.0,27.5,30.0,23.75,23.75,17.5,17.5,23.75
Tampines,6962.5,7758.75,8258.75,8945.0,9270.0,9906.25,10131.25,10331.25,10347.5,10137.5,9823.75,8638.75,7078.75,4818.75,3058.75,1856.25,1220.0,967.5
Tanglin,442.5,616.25,548.75,492.5,452.5,471.25,576.25,762.5,877.5,866.25,733.75,572.5,493.75,386.25,282.5,177.5,125.0,113.75
Tengah,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Toa Payoh,2582.5,2995.0,3038.75,3263.75,3523.75,4302.5,4453.75,4700.0,4953.75,4832.5,4710.0,4295.0,3998.75,3212.5,2596.25,1851.25,1255.0,1030.0
Tuas,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Western Islands,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Western Water Catchment,20.0,25.0,21.25,15.0,57.5,26.25,23.75,38.75,37.5,27.5,28.75,22.5,13.75,5.0,3.75,1.25,2.5,7.5
Woodlands,7386.25,7520.0,8397.5,8750.0,8567.5,9297.5,9926.25,9973.75,9910.0,9516.25,8513.75,6716.25,4953.75,3265.0,2111.25,1282.5,786.25,548.75
Yishun,5337.5,6041.25,6075.0,6326.25,6785.0,7806.25,8182.5,8378.75,8001.25,7745.0,7295.0,6471.25,5136.25,3561.25,2275.0,1352.5,836.25,650.0
